sepal length,sepal width,petal length,petal width,class
var1,var3,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var2,var4,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var2,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var2,var4,var1,var1,Iris-setosa
var2,var4,var1,var1,Iris-setosa
var2,var4,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var2,var4,var1,var1,Iris-setosa
var1,var4,var1,var1,Iris-setosa
var2,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var2,var3,var1,var1,Iris-setosa
var2,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var2,var3,var1,var1,Iris-setosa
var2,var4,var1,var1,Iris-setosa
var2,var4,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var2,var3,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var1,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var4,var1,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var4,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var2,var3,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var4,var3,var3,var3,Iris-versicolor
var3,var3,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var2,var1,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var3,var3,var3,var3,Iris-versicolor
var1,var1,var2,var2,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var2,var2,var2,var3,Iris-versicolor
var1,var1,var2,var2,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var2,var1,var3,var2,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var2,var2,var2,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var2,var2,var3,var2,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var2,var1,var2,var2,Iris-versicolor
var2,var3,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
